,query,dataset,runtime,variant,configuration
1609,query15.sql,tpcds,176919,register,unmod_spark
1610,query1.sql,tpcds,75842,register,unmod_spark
1611,query36.sql,tpcds,706859,register,unmod_spark
1612,query49.sql,tpcds,1748982,register,unmod_spark
1613,query52.sql,tpcds,511111,register,unmod_spark
1614,query31.sql,tpcds,1120348,register,unmod_spark
1615,query35.sql,tpcds,512352,register,unmod_spark
1616,query37.sql,tpcds,168821,register,unmod_spark
1617,query29.sql,tpcds,1205468,register,unmod_spark
1618,query50.sql,tpcds,1095472,register,unmod_spark
1619,query33.sql,tpcds,1400757,register,unmod_spark
1620,query42.sql,tpcds,521595,register,unmod_spark
1621,query32.sql,tpcds,469079,register,unmod_spark
1622,query43.sql,tpcds,339650,register,unmod_spark
1623,query34.sql,tpcds,266657,register,unmod_spark
1624,query27.sql,tpcds,965239,register,unmod_spark
1625,query38.sql,tpcds,538115,register,unmod_spark
1626,query48.sql,tpcds,859291,register,unmod_spark
1627,query44.sql,tpcds,2025030,register,unmod_spark
1628,query46.sql,tpcds,639579,register,unmod_spark
1629,query64.sql,tpcds,2725499,register,unmod_spark
1630,query58.sql,tpcds,928768,register,unmod_spark
1631,query71.sql,tpcds,1046144,register,unmod_spark
1632,query65.sql,tpcds,1074807,register,unmod_spark
1633,query54.sql,tpcds,575600,register,unmod_spark
1634,query76.sql,tpcds,907076,register,unmod_spark
1635,query72.sql,tpcds,303239,register,unmod_spark
1636,query73.sql,tpcds,259378,register,unmod_spark
1637,query66.sql,tpcds,779453,register,unmod_spark
1638,query59.sql,tpcds,619056,register,unmod_spark
1639,query69.sql,tpcds,454567,register,unmod_spark
1640,query77.sql,tpcds,1509122,register,unmod_spark
1641,query63.sql,tpcds,567707,register,unmod_spark
1642,query68.sql,tpcds,1047491,register,unmod_spark
1643,query55.sql,tpcds,510177,register,unmod_spark
1644,query56.sql,tpcds,1165391,register,unmod_spark
1645,query60.sql,tpcds,1218226,register,unmod_spark
1646,query75.sql,tpcds,2506057,register,unmod_spark
1647,query57.sql,tpcds,697215,register,unmod_spark
1648,query78.sql,tpcds,2125794,register,unmod_spark
1649,query62.sql,tpcds,51449,register,unmod_spark
1650,query74.sql,tpcds,1625329,register,unmod_spark
1651,query53.sql,tpcds,554315,register,unmod_spark
1652,query85.sql,tpcds,293177,register,unmod_spark
1653,query83.sql,tpcds,59758,register,unmod_spark
1654,query92.sql,tpcds,70662,register,unmod_spark
1655,query104.sql,tpcds,529337,register,unmod_spark
1656,query93.sql,tpcds,1574696,register,unmod_spark
1657,query87.sql,tpcds,476795,register,unmod_spark
1658,query82.sql,tpcds,281618,register,unmod_spark
1659,query98.sql,tpcds,465143,register,unmod_spark
1660,query94.sql,tpcds,282877,register,unmod_spark
1661,query101.sql,tpcds,530708,register,unmod_spark
1662,query99.sql,tpcds,130419,register,unmod_spark
1663,query86.sql,tpcds,168236,register,unmod_spark
1664,query102.sql,tpcds,502145,register,unmod_spark
1665,query103.sql,tpcds,457211,register,unmod_spark
1666,query81.sql,tpcds,65785,register,unmod_spark
1667,query91.sql,tpcds,15030,register,unmod_spark
1668,query96.sql,tpcds,193303,register,unmod_spark
1669,query84.sql,tpcds,33625,register,unmod_spark
1670,query89.sql,tpcds,532717,register,unmod_spark
1671,query97.sql,tpcds,543811,register,unmod_spark
1672,query80.sql,tpcds,1969117,register,unmod_spark
1673,query79.sql,tpcds,794060,register,unmod_spark
1674,query131.sql,tpcds,52627,register,unmod_spark
1675,query112.sql,tpcds,178465,register,unmod_spark
1676,query121.sql,tpcds,53020,register,unmod_spark
1677,query115.sql,tpcds,153029,register,unmod_spark
1678,query108.sql,tpcds,129766,register,unmod_spark
1679,query125.sql,tpcds,15834,register,unmod_spark
1680,query116.sql,tpcds,250068,register,unmod_spark
1681,query130.sql,tpcds,44784,register,unmod_spark
1682,query114.sql,tpcds,137005,register,unmod_spark
1683,query129.sql,tpcds,30985,register,unmod_spark
1684,query109.sql,tpcds,122596,register,unmod_spark
1685,query126.sql,tpcds,15079,register,unmod_spark
1686,query118.sql,tpcds,204043,register,unmod_spark
1687,query117.sql,tpcds,190325,register,unmod_spark
1688,query120.sql,tpcds,51432,register,unmod_spark
1689,query122.sql,tpcds,3762,register,unmod_spark
1690,query123.sql,tpcds,4446,register,unmod_spark
1691,query128.sql,tpcds,42000,register,unmod_spark
1692,query107.sql,tpcds,516714,register,unmod_spark
1693,query124.sql,tpcds,14450,register,unmod_spark
1694,query113.sql,tpcds,141369,register,unmod_spark
1695,query111.sql,tpcds,126898,register,unmod_spark
1696,query106.sql,tpcds,516233,register,unmod_spark
1697,query110.sql,tpcds,120099,register,unmod_spark
1698,query127.sql,tpcds,17622,register,unmod_spark
1699,query105.sql,tpcds,464657,register,unmod_spark
1700,query119.sql,tpcds,293192,register,unmod_spark
1701,query17.sql,tpcds,864228,register,unmod_spark
1702,query20.sql,tpcds,163906,register,unmod_spark
1703,query22.sql,tpcds,44029,register,unmod_spark
1704,query11.sql,tpcds,1727237,register,unmod_spark
1705,query5.sql,tpcds,1655405,register,unmod_spark
1706,query6.sql,tpcds,340028,register,unmod_spark
1707,query18.sql,tpcds,723792,register,unmod_spark
1708,query7.sql,tpcds,1054908,register,unmod_spark
1709,query21.sql,tpcds,43609,register,unmod_spark
1710,query10.sql,tpcds,458588,register,unmod_spark
1711,query9.sql,tpcds,4002059,register,unmod_spark
1712,query36.sql,tpcds,712951,register,unmod_spark
1713,query49.sql,tpcds,1758821,register,unmod_spark
1714,query52.sql,tpcds,514535,register,unmod_spark
1715,query31.sql,tpcds,1105720,register,unmod_spark
1716,query35.sql,tpcds,501708,register,unmod_spark
1717,query37.sql,tpcds,170842,register,unmod_spark
1718,query29.sql,tpcds,1034344,register,unmod_spark
1719,query50.sql,tpcds,1088484,register,unmod_spark
1720,query33.sql,tpcds,1404532,register,unmod_spark
1721,query42.sql,tpcds,516575,register,unmod_spark
1722,query32.sql,tpcds,423849,register,unmod_spark
1723,query43.sql,tpcds,336103,register,unmod_spark
1724,query34.sql,tpcds,250007,register,unmod_spark
1725,query27.sql,tpcds,928767,register,unmod_spark
1726,query38.sql,tpcds,340674,register,unmod_spark
1727,query48.sql,tpcds,871845,register,unmod_spark
1728,query44.sql,tpcds,2134824,register,unmod_spark
1729,query46.sql,tpcds,742157,register,unmod_spark
1730,query64.sql,tpcds,2617561,register,unmod_spark
1731,query58.sql,tpcds,943557,register,unmod_spark
1732,query71.sql,tpcds,866566,register,unmod_spark
1733,query65.sql,tpcds,1047000,register,unmod_spark
1734,query54.sql,tpcds,579832,register,unmod_spark
1735,query76.sql,tpcds,804990,register,unmod_spark
1736,query72.sql,tpcds,314239,register,unmod_spark
1737,query73.sql,tpcds,251926,register,unmod_spark
1738,query66.sql,tpcds,773358,register,unmod_spark
1739,query59.sql,tpcds,631103,register,unmod_spark
1740,query69.sql,tpcds,266137,register,unmod_spark
1741,query77.sql,tpcds,1551567,register,unmod_spark
1742,query63.sql,tpcds,552466,register,unmod_spark
1743,query68.sql,tpcds,993158,register,unmod_spark
1744,query55.sql,tpcds,517573,register,unmod_spark
1745,query56.sql,tpcds,1249847,register,unmod_spark
1746,query60.sql,tpcds,1232267,register,unmod_spark
1747,query75.sql,tpcds,2475547,register,unmod_spark
1748,query57.sql,tpcds,702474,register,unmod_spark
1749,query78.sql,tpcds,2136650,register,unmod_spark
1750,query62.sql,tpcds,53230,register,unmod_spark
1751,query74.sql,tpcds,1557571,register,unmod_spark
1752,query53.sql,tpcds,560128,register,unmod_spark
1753,query85.sql,tpcds,288415,register,unmod_spark
1754,query83.sql,tpcds,58905,register,unmod_spark
1755,query92.sql,tpcds,97912,register,unmod_spark
1756,query104.sql,tpcds,538475,register,unmod_spark
1757,query87.sql,tpcds,582567,register,unmod_spark
1758,query82.sql,tpcds,282426,register,unmod_spark
1759,query98.sql,tpcds,433677,register,unmod_spark
1760,query94.sql,tpcds,285183,register,unmod_spark
1761,query101.sql,tpcds,542069,register,unmod_spark
1762,query99.sql,tpcds,129570,register,unmod_spark
1763,query86.sql,tpcds,178526,register,unmod_spark
1764,query102.sql,tpcds,488445,register,unmod_spark
1765,query103.sql,tpcds,441600,register,unmod_spark
1766,query81.sql,tpcds,63280,register,unmod_spark
1767,query91.sql,tpcds,15344,register,unmod_spark
1768,query96.sql,tpcds,187449,register,unmod_spark
1769,query84.sql,tpcds,34299,register,unmod_spark
1770,query89.sql,tpcds,526228,register,unmod_spark
1771,query97.sql,tpcds,536409,register,unmod_spark
1772,query80.sql,tpcds,1969494,register,unmod_spark
1773,query79.sql,tpcds,794071,register,unmod_spark
1774,query131.sql,tpcds,56261,register,unmod_spark
1775,query112.sql,tpcds,176533,register,unmod_spark
1776,query121.sql,tpcds,50343,register,unmod_spark
1777,query115.sql,tpcds,147852,register,unmod_spark
1778,query108.sql,tpcds,132251,register,unmod_spark
1779,query125.sql,tpcds,18383,register,unmod_spark
1780,query116.sql,tpcds,210623,register,unmod_spark
1781,query130.sql,tpcds,53710,register,unmod_spark
1782,query114.sql,tpcds,135534,register,unmod_spark
1783,query129.sql,tpcds,51964,register,unmod_spark
1784,query109.sql,tpcds,125620,register,unmod_spark
1785,query126.sql,tpcds,13161,register,unmod_spark
1786,query118.sql,tpcds,202759,register,unmod_spark
1787,query117.sql,tpcds,211545,register,unmod_spark
1788,query120.sql,tpcds,51620,register,unmod_spark
1789,query122.sql,tpcds,5017,register,unmod_spark
1790,query123.sql,tpcds,5145,register,unmod_spark
1791,query128.sql,tpcds,51034,register,unmod_spark
1792,query107.sql,tpcds,498978,register,unmod_spark
1793,query124.sql,tpcds,13603,register,unmod_spark
1794,query113.sql,tpcds,142451,register,unmod_spark
1795,query111.sql,tpcds,131740,register,unmod_spark
1796,query106.sql,tpcds,508943,register,unmod_spark
1797,query110.sql,tpcds,63436,register,unmod_spark
1798,query127.sql,tpcds,17187,register,unmod_spark
1799,query105.sql,tpcds,435689,register,unmod_spark
1800,query119.sql,tpcds,314346,register,unmod_spark
1801,query17.sql,tpcds,1095176,register,unmod_spark
1802,query20.sql,tpcds,184523,register,unmod_spark
1803,query22.sql,tpcds,43798,register,unmod_spark
1804,query11.sql,tpcds,1742315,register,unmod_spark
1805,query5.sql,tpcds,1640285,register,unmod_spark
1806,query6.sql,tpcds,319023,register,unmod_spark
1807,query18.sql,tpcds,673463,register,unmod_spark
1808,query7.sql,tpcds,1015809,register,unmod_spark
1809,query21.sql,tpcds,43244,register,unmod_spark
1810,query10.sql,tpcds,561400,register,unmod_spark
1811,query9.sql,tpcds,3959887,register,unmod_spark
1812,query16.sql,tpcds,659547,register,unmod_spark
1813,query26.sql,tpcds,462374,register,unmod_spark
1814,query25.sql,tpcds,1136198,register,unmod_spark
1815,query12.sql,tpcds,131700,register,unmod_spark
1816,query19.sql,tpcds,569842,register,unmod_spark
1817,query13.sql,tpcds,1188916,register,unmod_spark
1818,query4.sql,tpcds,2608261,register,unmod_spark
1819,query3.sql,tpcds,362887,register,unmod_spark
1820,query8.sql,tpcds,444008,register,unmod_spark
1821,query2.sql,tpcds,410237,register,unmod_spark
1822,query15.sql,tpcds,178085,register,unmod_spark
1823,query1.sql,tpcds,102262,register,unmod_spark
1824,query36.sql,tpcds,710477,register,unmod_spark
1825,query49.sql,tpcds,1735006,register,unmod_spark
1826,query52.sql,tpcds,528884,register,unmod_spark
1827,query31.sql,tpcds,1106543,register,unmod_spark
1828,query35.sql,tpcds,437979,register,unmod_spark
1829,query37.sql,tpcds,173067,register,unmod_spark
1830,query29.sql,tpcds,1221995,register,unmod_spark
1831,query50.sql,tpcds,1206899,register,unmod_spark
1832,query33.sql,tpcds,1381156,register,unmod_spark
1833,query42.sql,tpcds,531518,register,unmod_spark
1834,query32.sql,tpcds,439328,register,unmod_spark
1835,query43.sql,tpcds,333270,register,unmod_spark
1836,query34.sql,tpcds,258339,register,unmod_spark
1837,query27.sql,tpcds,1011290,register,unmod_spark
1838,query38.sql,tpcds,499223,register,unmod_spark
1839,query48.sql,tpcds,846688,register,unmod_spark
1840,query44.sql,tpcds,2195652,register,unmod_spark
1841,query46.sql,tpcds,740439,register,unmod_spark
1842,query64.sql,tpcds,2730459,register,unmod_spark
1843,query58.sql,tpcds,915893,register,unmod_spark
1844,query71.sql,tpcds,963620,register,unmod_spark
1845,query65.sql,tpcds,1112705,register,unmod_spark
1846,query54.sql,tpcds,554510,register,unmod_spark
1847,query76.sql,tpcds,936982,register,unmod_spark
1848,query72.sql,tpcds,364372,register,unmod_spark
1849,query73.sql,tpcds,270581,register,unmod_spark
1850,query66.sql,tpcds,776793,register,unmod_spark
1851,query59.sql,tpcds,634652,register,unmod_spark
1852,query69.sql,tpcds,418893,register,unmod_spark
1853,query77.sql,tpcds,1503979,register,unmod_spark
1854,query63.sql,tpcds,554616,register,unmod_spark
1855,query68.sql,tpcds,1021308,register,unmod_spark
1856,query55.sql,tpcds,520779,register,unmod_spark
1857,query56.sql,tpcds,1180862,register,unmod_spark
1858,query60.sql,tpcds,1212677,register,unmod_spark
1859,query75.sql,tpcds,2427891,register,unmod_spark
1860,query57.sql,tpcds,778799,register,unmod_spark
1861,query78.sql,tpcds,2092659,register,unmod_spark
1862,query62.sql,tpcds,54388,register,unmod_spark
1863,query74.sql,tpcds,1606041,register,unmod_spark
1864,query53.sql,tpcds,556339,register,unmod_spark
1865,query85.sql,tpcds,292665,register,unmod_spark
1866,query83.sql,tpcds,59517,register,unmod_spark
1867,query92.sql,tpcds,72481,register,unmod_spark
1868,query104.sql,tpcds,535480,register,unmod_spark
1869,query93.sql,tpcds,1591851,register,unmod_spark
1870,query87.sql,tpcds,332625,register,unmod_spark
1871,query82.sql,tpcds,275145,register,unmod_spark
1872,query98.sql,tpcds,433075,register,unmod_spark
1873,query94.sql,tpcds,282954,register,unmod_spark
1874,query101.sql,tpcds,547451,register,unmod_spark
1875,query99.sql,tpcds,130160,register,unmod_spark
1876,query86.sql,tpcds,170449,register,unmod_spark
1877,query102.sql,tpcds,494043,register,unmod_spark
1878,query103.sql,tpcds,406744,register,unmod_spark
1879,query81.sql,tpcds,63284,register,unmod_spark
1880,query91.sql,tpcds,14905,register,unmod_spark
1881,query96.sql,tpcds,178347,register,unmod_spark
1882,query84.sql,tpcds,35718,register,unmod_spark
1883,query89.sql,tpcds,560740,register,unmod_spark
1884,query97.sql,tpcds,563825,register,unmod_spark
1885,query80.sql,tpcds,1989288,register,unmod_spark
1886,query79.sql,tpcds,820196,register,unmod_spark
1887,query131.sql,tpcds,61956,register,unmod_spark
1888,query112.sql,tpcds,175815,register,unmod_spark
1889,query121.sql,tpcds,52403,register,unmod_spark
1890,query115.sql,tpcds,158248,register,unmod_spark
1891,query108.sql,tpcds,130061,register,unmod_spark
1892,query125.sql,tpcds,17905,register,unmod_spark
1893,query116.sql,tpcds,213889,register,unmod_spark
1894,query130.sql,tpcds,53655,register,unmod_spark
1895,query114.sql,tpcds,150126,register,unmod_spark
1896,query129.sql,tpcds,39456,register,unmod_spark
1897,query109.sql,tpcds,123506,register,unmod_spark
1898,query126.sql,tpcds,15892,register,unmod_spark
1899,query118.sql,tpcds,194231,register,unmod_spark
1900,query117.sql,tpcds,207511,register,unmod_spark
1901,query120.sql,tpcds,51920,register,unmod_spark
1902,query122.sql,tpcds,4130,register,unmod_spark
1903,query123.sql,tpcds,4971,register,unmod_spark
1904,query128.sql,tpcds,51794,register,unmod_spark
1905,query107.sql,tpcds,529022,register,unmod_spark
1906,query124.sql,tpcds,13795,register,unmod_spark
1907,query113.sql,tpcds,138150,register,unmod_spark
1908,query111.sql,tpcds,129443,register,unmod_spark
1909,query106.sql,tpcds,527116,register,unmod_spark
1910,query110.sql,tpcds,124973,register,unmod_spark
1911,query127.sql,tpcds,17720,register,unmod_spark
1912,query105.sql,tpcds,493209,register,unmod_spark
1913,query119.sql,tpcds,298995,register,unmod_spark
1914,query100.sql,tpcds,567007,register,unmod_spark
1915,query16.sql,tpcds,712136,register,unmod_spark
1916,query25.sql,tpcds,1164762,register,unmod_spark
1917,query15.sql,tpcds,164745,register,unmod_spark
1918,query95.sql,tpcds,577158,register,unmod_spark
1919,query13.sql,tpcds,1224124,register,unmod_spark
1920,query3.sql,tpcds,360378,register,unmod_spark
1921,query1.sql,tpcds,75758,register,unmod_spark
1922,query19.sql,tpcds,525266,register,unmod_spark
1923,query4.sql,tpcds,2536258,register,unmod_spark
1924,query26.sql,tpcds,455196,register,unmod_spark
1925,query12.sql,tpcds,132205,register,unmod_spark
1926,query45.sql,tpcds,68973,register,unmod_spark
1927,query2.sql,tpcds,361366,register,unmod_spark
1928,query40.sql,tpcds,435464,register,unmod_spark
1929,query100.sql,tpcds,558626,register,unmod_spark
1930,query16.sql,tpcds,694571,register,unmod_spark
1931,query25.sql,tpcds,1186393,register,unmod_spark
1932,query15.sql,tpcds,166598,register,unmod_spark
1933,query95.sql,tpcds,566960,register,unmod_spark
1934,query13.sql,tpcds,1225551,register,unmod_spark
1935,query3.sql,tpcds,347688,register,unmod_spark
1936,query1.sql,tpcds,77053,register,unmod_spark
1937,query19.sql,tpcds,522527,register,unmod_spark
1938,query4.sql,tpcds,2547969,register,unmod_spark
1939,query26.sql,tpcds,453540,register,unmod_spark
1940,query45.sql,tpcds,66583,register,unmod_spark
1941,query2.sql,tpcds,370651,register,unmod_spark
1942,query40.sql,tpcds,409399,register,unmod_spark
1943,query100.sql,tpcds,454682,register,unmod_spark
1944,query47.sql,tpcds,1173200,register,unmod_spark
1945,query8.sql,tpcds,386218,register,unmod_spark
1946,query41.sql,tpcds,2741,register,unmod_spark
1947,query51.sql,tpcds,680179,register,unmod_spark
1948,query45.sql,tpcds,146283,register,unmod_spark
1949,query95.sql,tpcds,554626,register,unmod_spark
1950,query47.sql,tpcds,1496845,register,unmod_spark
1951,query90.sql,tpcds,78128,register,unmod_spark
1952,query41.sql,tpcds,1139,register,unmod_spark
1953,query47.sql,tpcds,1279354,register,unmod_spark
1954,query90.sql,tpcds,76126,register,unmod_spark
1955,query41.sql,tpcds,2740,register,unmod_spark
1956,query70.sql,tpcds,563529,register,unmod_spark
1957,query70.sql,tpcds,568232,register,unmod_spark
1958,query51.sql,tpcds,682681,register,unmod_spark
1959,query51.sql,tpcds,704086,register,unmod_spark
1960,query17.sql,tpcds,1170055,nowrite,unmod_spark
1961,query20.sql,tpcds,192291,nowrite,unmod_spark
1962,query22.sql,tpcds,43406,nowrite,unmod_spark
1963,query11.sql,tpcds,1685151,nowrite,unmod_spark
1964,query5.sql,tpcds,1527133,nowrite,unmod_spark
1965,query6.sql,tpcds,350295,nowrite,unmod_spark
1966,query18.sql,tpcds,659010,nowrite,unmod_spark
1967,query7.sql,tpcds,1039592,nowrite,unmod_spark
1968,query21.sql,tpcds,43488,nowrite,unmod_spark
1969,query10.sql,tpcds,526220,nowrite,unmod_spark
1970,query9.sql,tpcds,4103378,nowrite,unmod_spark
1971,query16.sql,tpcds,660505,nowrite,unmod_spark
1972,query26.sql,tpcds,456805,nowrite,unmod_spark
1973,query25.sql,tpcds,1146269,nowrite,unmod_spark
1974,query12.sql,tpcds,131294,nowrite,unmod_spark
1975,query19.sql,tpcds,571820,nowrite,unmod_spark
1976,query13.sql,tpcds,1211890,nowrite,unmod_spark
1977,query4.sql,tpcds,2507319,nowrite,unmod_spark
1978,query3.sql,tpcds,370680,nowrite,unmod_spark
1979,query8.sql,tpcds,441746,nowrite,unmod_spark
1980,query2.sql,tpcds,434563,nowrite,unmod_spark
1981,query15.sql,tpcds,183271,nowrite,unmod_spark
1982,query1.sql,tpcds,74019,nowrite,unmod_spark
1983,query36.sql,tpcds,716560,nowrite,unmod_spark
1984,query49.sql,tpcds,1755209,nowrite,unmod_spark
1985,query52.sql,tpcds,488880,nowrite,unmod_spark
1986,query31.sql,tpcds,1117250,nowrite,unmod_spark
1987,query35.sql,tpcds,493461,nowrite,unmod_spark
1988,query37.sql,tpcds,173358,nowrite,unmod_spark
1989,query29.sql,tpcds,1095369,nowrite,unmod_spark
1990,query50.sql,tpcds,1132880,nowrite,unmod_spark
1991,query33.sql,tpcds,1375174,nowrite,unmod_spark
1992,query42.sql,tpcds,531436,nowrite,unmod_spark
1993,query32.sql,tpcds,438589,nowrite,unmod_spark
1994,query43.sql,tpcds,339462,nowrite,unmod_spark
1995,query34.sql,tpcds,280504,nowrite,unmod_spark
1996,query27.sql,tpcds,989846,nowrite,unmod_spark
1997,query38.sql,tpcds,344923,nowrite,unmod_spark
1998,query48.sql,tpcds,856290,nowrite,unmod_spark
1999,query44.sql,tpcds,2004462,nowrite,unmod_spark
2000,query46.sql,tpcds,705446,nowrite,unmod_spark
2001,query64.sql,tpcds,2775234,nowrite,unmod_spark
2002,query58.sql,tpcds,927634,nowrite,unmod_spark
2003,query71.sql,tpcds,817015,nowrite,unmod_spark
2004,query65.sql,tpcds,1083116,nowrite,unmod_spark
2005,query54.sql,tpcds,593999,nowrite,unmod_spark
2006,query76.sql,tpcds,826885,nowrite,unmod_spark
2007,query72.sql,tpcds,339113,nowrite,unmod_spark
2008,query73.sql,tpcds,273868,nowrite,unmod_spark
2009,query66.sql,tpcds,768196,nowrite,unmod_spark
2010,query59.sql,tpcds,646007,nowrite,unmod_spark
2011,query69.sql,tpcds,456098,nowrite,unmod_spark
2012,query77.sql,tpcds,1507626,nowrite,unmod_spark
2013,query63.sql,tpcds,561160,nowrite,unmod_spark
2014,query68.sql,tpcds,1055407,nowrite,unmod_spark
2015,query55.sql,tpcds,541898,nowrite,unmod_spark
2016,query56.sql,tpcds,1297068,nowrite,unmod_spark
2017,query60.sql,tpcds,1293032,nowrite,unmod_spark
2018,query75.sql,tpcds,2598416,nowrite,unmod_spark
2019,query57.sql,tpcds,704502,nowrite,unmod_spark
2020,query78.sql,tpcds,2071211,nowrite,unmod_spark
2021,query62.sql,tpcds,54656,nowrite,unmod_spark
2022,query74.sql,tpcds,1621298,nowrite,unmod_spark
2023,query53.sql,tpcds,555544,nowrite,unmod_spark
2024,query85.sql,tpcds,268512,nowrite,unmod_spark
2025,query83.sql,tpcds,59220,nowrite,unmod_spark
2026,query92.sql,tpcds,72257,nowrite,unmod_spark
2027,query104.sql,tpcds,542594,nowrite,unmod_spark
2028,query93.sql,tpcds,1398567,nowrite,unmod_spark
2029,query87.sql,tpcds,334455,nowrite,unmod_spark
2030,query82.sql,tpcds,283000,nowrite,unmod_spark
2031,query98.sql,tpcds,466762,nowrite,unmod_spark
2032,query94.sql,tpcds,286495,nowrite,unmod_spark
2033,query101.sql,tpcds,542936,nowrite,unmod_spark
2034,query99.sql,tpcds,132147,nowrite,unmod_spark
2035,query86.sql,tpcds,169325,nowrite,unmod_spark
2036,query102.sql,tpcds,510105,nowrite,unmod_spark
2037,query103.sql,tpcds,408903,nowrite,unmod_spark
2038,query81.sql,tpcds,64096,nowrite,unmod_spark
2039,query91.sql,tpcds,14649,nowrite,unmod_spark
2040,query96.sql,tpcds,193243,nowrite,unmod_spark
2041,query84.sql,tpcds,33560,nowrite,unmod_spark
2042,query89.sql,tpcds,521242,nowrite,unmod_spark
2043,query97.sql,tpcds,538071,nowrite,unmod_spark
2044,query80.sql,tpcds,1991503,nowrite,unmod_spark
2045,query79.sql,tpcds,799407,nowrite,unmod_spark
2046,query131.sql,tpcds,60084,nowrite,unmod_spark
2047,query112.sql,tpcds,178443,nowrite,unmod_spark
2048,query121.sql,tpcds,49766,nowrite,unmod_spark
2049,query115.sql,tpcds,165194,nowrite,unmod_spark
2050,query108.sql,tpcds,130049,nowrite,unmod_spark
2051,query125.sql,tpcds,15746,nowrite,unmod_spark
2052,query116.sql,tpcds,244644,nowrite,unmod_spark
2053,query130.sql,tpcds,54605,nowrite,unmod_spark
2054,query114.sql,tpcds,165588,nowrite,unmod_spark
2055,query129.sql,tpcds,25996,nowrite,unmod_spark
2056,query109.sql,tpcds,124304,nowrite,unmod_spark
2057,query126.sql,tpcds,13989,nowrite,unmod_spark
2058,query118.sql,tpcds,181023,nowrite,unmod_spark
2059,query117.sql,tpcds,202243,nowrite,unmod_spark
2060,query120.sql,tpcds,50301,nowrite,unmod_spark
2061,query122.sql,tpcds,4783,nowrite,unmod_spark
2062,query123.sql,tpcds,5477,nowrite,unmod_spark
2063,query128.sql,tpcds,55096,nowrite,unmod_spark
2064,query107.sql,tpcds,509091,nowrite,unmod_spark
2065,query124.sql,tpcds,14424,nowrite,unmod_spark
2066,query113.sql,tpcds,160095,nowrite,unmod_spark
2067,query111.sql,tpcds,127855,nowrite,unmod_spark
2068,query106.sql,tpcds,509871,nowrite,unmod_spark
2069,query110.sql,tpcds,127013,nowrite,unmod_spark
2070,query127.sql,tpcds,18100,nowrite,unmod_spark
2071,query105.sql,tpcds,468358,nowrite,unmod_spark
2072,query119.sql,tpcds,301311,nowrite,unmod_spark
2073,query17.sql,tpcds,1116179,nowrite,unmod_spark
2074,query20.sql,tpcds,180491,nowrite,unmod_spark
2075,query22.sql,tpcds,44121,nowrite,unmod_spark
2076,query11.sql,tpcds,1710427,nowrite,unmod_spark
2077,query5.sql,tpcds,1669799,nowrite,unmod_spark
2078,query6.sql,tpcds,317358,nowrite,unmod_spark
2079,query18.sql,tpcds,700021,nowrite,unmod_spark
2080,query7.sql,tpcds,1009576,nowrite,unmod_spark
2081,query21.sql,tpcds,43220,nowrite,unmod_spark
2082,query10.sql,tpcds,535577,nowrite,unmod_spark
2083,query9.sql,tpcds,3600382,nowrite,unmod_spark
2084,query16.sql,tpcds,656761,nowrite,unmod_spark
2085,query26.sql,tpcds,462083,nowrite,unmod_spark
2086,query25.sql,tpcds,1153357,nowrite,unmod_spark
2087,query12.sql,tpcds,131053,nowrite,unmod_spark
2088,query19.sql,tpcds,574910,nowrite,unmod_spark
2089,query13.sql,tpcds,1216151,nowrite,unmod_spark
2090,query4.sql,tpcds,2530118,nowrite,unmod_spark
2091,query3.sql,tpcds,375883,nowrite,unmod_spark
2092,query8.sql,tpcds,441695,nowrite,unmod_spark
2093,query2.sql,tpcds,432261,nowrite,unmod_spark
2094,query15.sql,tpcds,174418,nowrite,unmod_spark
2095,query1.sql,tpcds,72882,nowrite,unmod_spark
2096,query36.sql,tpcds,701571,nowrite,unmod_spark
2097,query49.sql,tpcds,1742054,nowrite,unmod_spark
2098,query52.sql,tpcds,540316,nowrite,unmod_spark
2099,query31.sql,tpcds,1191043,nowrite,unmod_spark
2100,query35.sql,tpcds,480724,nowrite,unmod_spark
2101,query37.sql,tpcds,170892,nowrite,unmod_spark
2102,query29.sql,tpcds,1240408,nowrite,unmod_spark
2103,query50.sql,tpcds,1102982,nowrite,unmod_spark
2104,query33.sql,tpcds,1371386,nowrite,unmod_spark
2105,query42.sql,tpcds,510480,nowrite,unmod_spark
2106,query32.sql,tpcds,448057,nowrite,unmod_spark
2107,query43.sql,tpcds,336404,nowrite,unmod_spark
2108,query34.sql,tpcds,279147,nowrite,unmod_spark
2109,query27.sql,tpcds,884805,nowrite,unmod_spark
2110,query38.sql,tpcds,525290,nowrite,unmod_spark
2111,query48.sql,tpcds,854366,nowrite,unmod_spark
2112,query44.sql,tpcds,2463903,nowrite,unmod_spark
2113,query46.sql,tpcds,732346,nowrite,unmod_spark
2114,query64.sql,tpcds,2783592,nowrite,unmod_spark
2115,query58.sql,tpcds,932886,nowrite,unmod_spark
2116,query71.sql,tpcds,947332,nowrite,unmod_spark
2117,query65.sql,tpcds,1045417,nowrite,unmod_spark
2118,query54.sql,tpcds,587682,nowrite,unmod_spark
2119,query76.sql,tpcds,831136,nowrite,unmod_spark
2120,query72.sql,tpcds,312367,nowrite,unmod_spark
2121,query73.sql,tpcds,273043,nowrite,unmod_spark
2122,query66.sql,tpcds,781415,nowrite,unmod_spark
