query,dataset,run_number,listener_bare_time
query92.sql,tpcds,7,14.78
query93.sql,tpcds,7,30.08
query94.sql,tpcds,7,19.68
query95.sql,tpcds,7,25.86
query96.sql,tpcds,7,11.32
query97.sql,tpcds,7,19.09
query98.sql,tpcds,7,14.12
query99.sql,tpcds,7,13.85
1.sql,tpch,8,30.28
10.sql,tpch,8,20.59
11.sql,tpch,8,11.99
12.sql,tpch,8,18.13
13.sql,tpch,8,18.33
14.sql,tpch,8,15.08
15.sql,tpch,8,16.13
16.sql,tpch,8,17.79
17.sql,tpch,8,33.40
18.sql,tpch,8,32.93
19.sql,tpch,8,15.38
2.sql,tpch,8,15.61
20.sql,tpch,8,16.42
21.sql,tpch,8,32.77
22.sql,tpch,8,15.81
3.sql,tpch,8,22.30
4.sql,tpch,8,22.81
5.sql,tpch,8,29.98
6.sql,tpch,8,11.87
7.sql,tpch,8,28.81
8.sql,tpch,8,24.40
9.sql,tpch,8,33.52
query1.sql,tpcds,8,15.76
query10.sql,tpcds,8,16.27
query11.sql,tpcds,8,28.53
query12.sql,tpcds,8,13.67
query13.sql,tpcds,8,13.83
query14.sql,tpcds,8,8.60
query15.sql,tpcds,8,13.69
query16.sql,tpcds,8,15.06
query17.sql,tpcds,8,29.81
query18.sql,tpcds,8,15.12
query19.sql,tpcds,8,13.65
query2.sql,tpcds,8,14.96
query20.sql,tpcds,8,13.53
query21.sql,tpcds,8,13.30
query22.sql,tpcds,8,14.78
query23.sql,tpcds,8,8.46
query24.sql,tpcds,8,8.01
query25.sql,tpcds,8,30.51
query26.sql,tpcds,8,14.09
query27.sql,tpcds,8,15.36
query28.sql,tpcds,8,20.50
query29.sql,tpcds,8,29.05
query3.sql,tpcds,8,12.76
query30.sql,tpcds,8,8.17
query31.sql,tpcds,8,20.69
query32.sql,tpcds,8,13.00
query33.sql,tpcds,8,16.12
query34.sql,tpcds,8,14.18
query35.sql,tpcds,8,16.73
query36.sql,tpcds,8,14.75
query37.sql,tpcds,8,15.75
query38.sql,tpcds,8,19.80
query39.sql,tpcds,8,8.41
query4.sql,tpcds,8,38.79
query40.sql,tpcds,8,19.80
query41.sql,tpcds,8,10.41
query42.sql,tpcds,8,12.45
query43.sql,tpcds,8,13.61
query44.sql,tpcds,8,14.53
query45.sql,tpcds,8,14.48
query46.sql,tpcds,8,15.46
query47.sql,tpcds,8,19.40
query48.sql,tpcds,8,15.12
query49.sql,tpcds,8,20.28
query5.sql,tpcds,8,19.12
query50.sql,tpcds,8,22.19
query51.sql,tpcds,8,23.64
query52.sql,tpcds,8,13.18
query53.sql,tpcds,8,14.03
query54.sql,tpcds,8,17.57
query55.sql,tpcds,8,13.34
query56.sql,tpcds,8,16.03
query57.sql,tpcds,8,14.84
query58.sql,tpcds,8,16.59
query59.sql,tpcds,8,15.78
query6.sql,tpcds,8,23.59
query60.sql,tpcds,8,16.77
query61.sql,tpcds,8,10.20
query62.sql,tpcds,8,14.52
query63.sql,tpcds,8,14.05
query64.sql,tpcds,8,36.70
query65.sql,tpcds,8,18.13
query66.sql,tpcds,8,16.82
query67.sql,tpcds,8,8.00
query68.sql,tpcds,8,15.51
query69.sql,tpcds,8,11.84
query7.sql,tpcds,8,15.46
query70.sql,tpcds,8,15.22
query71.sql,tpcds,8,15.11
query72.sql,tpcds,8,36.67
query73.sql,tpcds,8,13.70
query74.sql,tpcds,8,26.79
query75.sql,tpcds,8,24.65
query76.sql,tpcds,8,15.26
query77.sql,tpcds,8,16.35
query78.sql,tpcds,8,35.57
query79.sql,tpcds,8,14.56
query8.sql,tpcds,8,14.21
query80.sql,tpcds,8,35.85
query81.sql,tpcds,8,14.46
query82.sql,tpcds,8,17.15
query83.sql,tpcds,8,15.19
query84.sql,tpcds,8,13.97
query85.sql,tpcds,8,17.47
query86.sql,tpcds,8,13.56
query87.sql,tpcds,8,19.31
query88.sql,tpcds,8,17.67
query89.sql,tpcds,8,14.39
query9.sql,tpcds,8,14.97
query90.sql,tpcds,8,12.56
query91.sql,tpcds,8,12.82
query92.sql,tpcds,8,14.72
query93.sql,tpcds,8,29.74
query94.sql,tpcds,8,20.66
query95.sql,tpcds,8,24.92
query96.sql,tpcds,8,11.41
query97.sql,tpcds,8,19.91
query98.sql,tpcds,8,14.54
query99.sql,tpcds,8,13.69
1.sql,tpch,9,32.53
10.sql,tpch,9,20.27
11.sql,tpch,9,12.27
12.sql,tpch,9,17.26
13.sql,tpch,9,18.71
14.sql,tpch,9,14.90
15.sql,tpch,9,18.32
16.sql,tpch,9,17.99
17.sql,tpch,9,35.27
18.sql,tpch,9,33.65
19.sql,tpch,9,15.08
2.sql,tpch,9,15.65
20.sql,tpch,9,16.61
21.sql,tpch,9,33.44
22.sql,tpch,9,15.54
3.sql,tpch,9,19.75
4.sql,tpch,9,26.08
5.sql,tpch,9,29.41
6.sql,tpch,9,11.42
7.sql,tpch,9,29.13
8.sql,tpch,9,23.85
9.sql,tpch,9,32.04
query1.sql,tpcds,9,15.73
query10.sql,tpcds,9,15.76
query11.sql,tpcds,9,28.62
query12.sql,tpcds,9,13.79
query13.sql,tpcds,9,14.64
query14.sql,tpcds,9,8.83
query15.sql,tpcds,9,14.61
query16.sql,tpcds,9,16.22
query17.sql,tpcds,9,29.44
query18.sql,tpcds,9,15.51
query19.sql,tpcds,9,14.88
query2.sql,tpcds,9,14.84
query20.sql,tpcds,9,14.13
query21.sql,tpcds,9,13.72
query22.sql,tpcds,9,14.78
query23.sql,tpcds,9,8.36
query24.sql,tpcds,9,8.35
query25.sql,tpcds,9,29.75
query26.sql,tpcds,9,14.57
query27.sql,tpcds,9,15.29
query28.sql,tpcds,9,20.09
query29.sql,tpcds,9,30.19
query3.sql,tpcds,9,12.78
query30.sql,tpcds,9,8.70
query31.sql,tpcds,9,19.49
query32.sql,tpcds,9,13.84
query33.sql,tpcds,9,16.21
query34.sql,tpcds,9,13.72
query35.sql,tpcds,9,16.81
query36.sql,tpcds,9,14.27
query37.sql,tpcds,9,15.31
query38.sql,tpcds,9,19.56
query39.sql,tpcds,9,8.31
query4.sql,tpcds,9,37.46
query40.sql,tpcds,9,19.74
query41.sql,tpcds,9,10.20
query42.sql,tpcds,9,12.08
query43.sql,tpcds,9,13.22
query44.sql,tpcds,9,15.33
query45.sql,tpcds,9,14.47
query46.sql,tpcds,9,14.79
query47.sql,tpcds,9,18.53
query48.sql,tpcds,9,14.70
query49.sql,tpcds,9,20.11
query5.sql,tpcds,9,19.95
query50.sql,tpcds,9,21.70
query51.sql,tpcds,9,23.43
query52.sql,tpcds,9,12.87
query53.sql,tpcds,9,14.10
query54.sql,tpcds,9,18.55
query55.sql,tpcds,9,14.30
query56.sql,tpcds,9,15.77
query57.sql,tpcds,9,15.23
query58.sql,tpcds,9,17.55
query59.sql,tpcds,9,16.09
query6.sql,tpcds,9,23.04
query60.sql,tpcds,9,16.05
query61.sql,tpcds,9,10.23
query62.sql,tpcds,9,14.19
query63.sql,tpcds,9,14.53
query64.sql,tpcds,9,38.07
query65.sql,tpcds,9,18.17
query66.sql,tpcds,9,16.62
query67.sql,tpcds,9,8.16
query68.sql,tpcds,9,15.00
query69.sql,tpcds,9,11.72
query7.sql,tpcds,9,15.41
query70.sql,tpcds,9,15.37
query71.sql,tpcds,9,15.14
query72.sql,tpcds,9,36.42
query73.sql,tpcds,9,14.33
query74.sql,tpcds,9,9.68
query75.sql,tpcds,9,25.44
query76.sql,tpcds,9,15.33
query77.sql,tpcds,9,17.05
query78.sql,tpcds,9,36.18
query79.sql,tpcds,9,15.02
query8.sql,tpcds,9,14.16
query80.sql,tpcds,9,36.45
query81.sql,tpcds,9,15.20
query82.sql,tpcds,9,16.29
query83.sql,tpcds,9,13.88
query84.sql,tpcds,9,13.90
query85.sql,tpcds,9,18.02
query86.sql,tpcds,9,13.63
query87.sql,tpcds,9,20.14
query88.sql,tpcds,9,16.43
query89.sql,tpcds,9,14.90
query9.sql,tpcds,9,15.05
query90.sql,tpcds,9,12.24
query91.sql,tpcds,9,12.98
query92.sql,tpcds,9,14.43
query93.sql,tpcds,9,31.13
query94.sql,tpcds,9,21.41
query95.sql,tpcds,9,24.80
query96.sql,tpcds,9,11.51
query97.sql,tpcds,9,19.48
query98.sql,tpcds,9,14.76
query99.sql,tpcds,9,14.10
